time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	0	0	0	0	0	0	0	0
03:55:00	14100	0	0	0	0	0	0	0	0
04:00:00	14400	0	0	0	0	0	0	0	0
04:05:00	14700	0	0	0	0	0	0	0	0
04:10:00	15000	0	0	0	0	0	0	0	0
04:15:00	15300	2	0	0	2	2	0	0	2
04:20:00	15600	2	1	0	3	2	1	0	3
04:25:00	15900	1	3	0	1	1	3	0	1
04:30:00	16200	2	1	0	2	2	1	0	2
04:35:00	16500	1	0	0	3	1	0	0	3
04:40:00	16800	2	2	0	3	2	2	0	3
04:45:00	17100	3	2	0	4	3	2	0	4
04:50:00	17400	4	2	0	6	4	2	0	6
04:55:00	17700	5	4	0	7	5	4	0	7
05:00:00	18000	5	5	0	7	5	5	0	7
05:05:00	18300	13	4	0	16	13	4	0	16
05:10:00	18600	15	11	0	20	15	11	0	20
05:15:00	18900	15	10	0	25	15	10	0	25
05:20:00	19200	22	17	0	30	22	17	0	30
05:25:00	19500	23	24	0	29	23	24	0	29
05:30:00	19800	28	17	0	40	28	17	0	40
05:35:00	20100	28	21	0	47	28	21	0	47
05:40:00	20400	33	26	0	54	33	26	0	54
05:45:00	20700	29	23	0	60	29	23	0	60
05:50:00	21000	64	44	0	80	64	44	0	80
05:55:00	21300	49	40	0	89	49	40	0	89
06:00:00	21600	64	60	0	93	64	60	0	93
06:05:00	21900	80	66	0	107	80	66	0	107
06:10:00	22200	77	63	0	121	77	63	0	121
06:15:00	22500	105	83	0	143	105	83	0	143
06:20:00	22800	127	89	0	181	127	89	0	181
06:25:00	23100	149	116	0	214	149	116	0	214
06:30:00	23400	158	143	0	229	158	143	0	229
06:35:00	23700	157	144	0	242	157	144	0	242
06:40:00	24000	177	150	0	269	177	150	0	269
06:45:00	24300	174	156	0	287	174	156	0	287
06:50:00	24600	225	183	0	329	225	183	0	329
06:55:00	24900	206	180	0	355	206	180	0	355
07:00:00	25200	222	232	0	345	222	232	0	345
07:05:00	25500	264	213	0	396	264	213	0	396
07:10:00	25800	286	228	0	454	286	228	0	454
07:15:00	26100	307	266	0	495	307	266	0	495
07:20:00	26400	302	300	0	497	302	300	0	497
07:25:00	26700	320	306	0	511	320	306	0	511
07:30:00	27000	331	291	0	551	331	291	0	551
07:35:00	27300	340	338	0	553	340	338	0	553
07:40:00	27600	382	315	0	620	382	315	0	620
07:45:00	27900	396	341	0	675	396	341	0	675
07:50:00	28200	411	383	0	703	411	383	0	703
07:55:00	28500	365	388	0	680	365	388	0	680
08:00:00	28800	428	412	0	696	428	412	0	696
08:05:00	29100	415	371	0	740	415	371	0	740
08:10:00	29400	405	403	0	742	405	403	0	742
08:15:00	29700	401	415	0	728	401	415	0	728
08:20:00	30000	399	401	0	726	399	401	0	726
08:25:00	30300	396	374	0	748	396	374	0	748
08:30:00	30600	364	393	0	719	364	393	0	719
08:35:00	30900	393	383	0	729	393	383	0	729
08:40:00	31200	369	396	0	702	369	396	0	702
08:45:00	31500	355	361	0	696	355	361	0	696
08:50:00	31800	324	382	0	638	324	382	0	638
08:55:00	32100	343	338	0	643	343	338	0	643
09:00:00	32400	306	322	0	627	306	322	0	627
09:05:00	32700	333	323	0	637	333	323	0	637
09:10:00	33000	294	316	0	615	294	316	0	615
09:15:00	33300	276	280	0	611	276	280	0	611
09:20:00	33600	250	298	0	563	250	298	0	563
09:25:00	33900	291	280	0	574	291	280	0	574
09:30:00	34200	259	284	0	549	259	284	0	549
