time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	1	0	0	1	1	0	0	1
03:55:00	14100	0	0	0	1	0	0	0	1
04:00:00	14400	0	0	0	1	0	0	0	1
04:05:00	14700	0	0	0	1	0	0	0	1
04:10:00	15000	1	0	0	2	1	0	0	2
04:15:00	15300	1	0	0	3	1	0	0	3
04:20:00	15600	2	3	0	2	2	3	0	2
04:25:00	15900	2	2	0	2	2	2	0	2
04:30:00	16200	3	1	0	4	3	1	0	4
04:35:00	16500	2	2	0	4	2	2	0	4
04:40:00	16800	1	3	0	2	1	3	0	2
04:45:00	17100	4	1	0	5	4	1	0	5
04:50:00	17400	5	2	0	8	5	2	0	8
04:55:00	17700	5	4	0	9	5	4	0	9
05:00:00	18000	14	5	0	18	14	5	0	18
05:05:00	18300	16	9	0	25	16	9	0	25
05:10:00	18600	14	16	0	23	14	16	0	23
05:15:00	18900	16	8	0	31	16	8	0	31
05:20:00	19200	17	15	0	33	17	15	0	33
05:25:00	19500	32	28	0	37	32	28	0	37
05:30:00	19800	36	22	0	51	36	22	0	51
05:35:00	20100	31	25	0	57	31	25	0	57
05:40:00	20400	37	28	0	66	37	28	0	66
05:45:00	20700	36	37	0	65	36	37	0	65
05:50:00	21000	64	51	0	78	64	51	0	78
05:55:00	21300	69	41	0	106	69	41	0	106
06:00:00	21600	79	69	0	116	79	69	0	116
06:05:00	21900	87	79	0	124	87	79	0	124
06:10:00	22200	93	72	0	145	93	72	0	145
06:15:00	22500	120	95	0	170	120	95	0	170
06:20:00	22800	135	95	0	210	135	95	0	210
06:25:00	23100	159	128	0	241	159	128	0	241
06:30:00	23400	152	150	0	243	152	150	0	243
06:35:00	23700	163	165	0	241	163	165	0	241
06:40:00	24000	197	152	0	286	197	152	0	286
06:45:00	24300	205	177	0	314	205	177	0	314
06:50:00	24600	235	190	0	359	235	190	0	359
06:55:00	24900	231	223	0	367	231	223	0	367
07:00:00	25200	233	224	0	376	233	224	0	376
07:05:00	25500	257	227	0	406	257	227	0	406
07:10:00	25800	287	258	0	435	287	258	0	435
07:15:00	26100	273	247	0	461	273	247	0	461
07:20:00	26400	322	265	0	518	322	265	0	518
07:25:00	26700	332	310	0	540	332	310	0	540
07:30:00	27000	331	293	0	578	331	293	0	578
07:35:00	27300	337	329	0	586	337	329	0	586
07:40:00	27600	343	326	0	603	343	326	0	603
07:45:00	27900	383	334	0	652	383	334	0	652
07:50:00	28200	407	351	0	708	407	351	0	708
07:55:00	28500	413	404	0	717	413	404	0	717
08:00:00	28800	383	404	0	696	383	404	0	696
08:05:00	29100	409	397	0	708	409	397	0	708
08:10:00	29400	392	392	0	708	392	392	0	708
08:15:00	29700	375	392	0	691	375	392	0	691
08:20:00	30000	368	351	0	708	368	351	0	708
08:25:00	30300	353	373	0	688	353	373	0	688
08:30:00	30600	398	388	0	698	398	388	0	698
08:35:00	30900	375	384	0	689	375	384	0	689
08:40:00	31200	362	373	0	678	362	373	0	678
08:45:00	31500	325	360	0	643	325	360	0	643
08:50:00	31800	311	329	0	625	311	329	0	625
08:55:00	32100	349	330	0	644	349	330	0	644
09:00:00	32400	322	331	0	635	322	331	0	635
09:05:00	32700	297	328	0	604	297	328	0	604
09:10:00	33000	301	303	0	602	301	303	0	602
09:15:00	33300	286	302	0	586	286	302	0	586
09:20:00	33600	252	277	0	561	252	277	0	561
09:25:00	33900	279	262	0	578	279	262	0	578
09:30:00	34200	242	270	0	550	242	270	0	550
