time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	1	0	0	1	1	0	0	1
03:55:00	14100	0	0	0	1	0	0	0	1
04:00:00	14400	1	0	0	2	1	0	0	2
04:05:00	14700	0	0	0	2	0	0	0	2
04:10:00	15000	0	0	0	2	0	0	0	2
04:15:00	15300	1	1	0	2	1	1	0	2
04:20:00	15600	3	2	0	3	3	2	0	3
04:25:00	15900	2	2	0	3	2	2	0	3
04:30:00	16200	3	3	0	3	3	3	0	3
04:35:00	16500	3	2	0	4	3	2	0	4
04:40:00	16800	2	2	0	4	2	2	0	4
04:45:00	17100	2	2	0	4	2	2	0	4
04:50:00	17400	4	4	0	4	4	4	0	4
04:55:00	17700	7	2	0	9	7	2	0	9
05:00:00	18000	9	3	0	15	9	3	0	15
05:05:00	18300	11	8	0	18	11	8	0	18
05:10:00	18600	16	12	0	22	16	12	0	22
05:15:00	18900	19	10	0	31	19	10	0	31
05:20:00	19200	21	19	0	33	21	19	0	33
05:25:00	19500	24	26	0	31	24	26	0	31
05:30:00	19800	37	19	0	49	37	19	0	49
05:35:00	20100	30	24	0	55	30	24	0	55
05:40:00	20400	38	31	0	62	38	31	0	62
05:45:00	20700	33	30	0	65	33	30	0	65
05:50:00	21000	57	49	0	73	57	49	0	73
05:55:00	21300	56	37	0	92	56	37	0	92
06:00:00	21600	68	53	0	107	68	53	0	107
06:05:00	21900	95	74	0	128	95	74	0	128
06:10:00	22200	100	78	0	150	100	78	0	150
06:15:00	22500	111	94	0	167	111	94	0	167
06:20:00	22800	133	106	0	194	133	106	0	194
06:25:00	23100	155	123	0	226	155	123	0	226
06:30:00	23400	151	141	0	236	151	141	0	236
06:35:00	23700	151	152	0	235	151	152	0	235
06:40:00	24000	186	142	0	279	186	142	0	279
06:45:00	24300	175	167	0	287	175	167	0	287
06:50:00	24600	241	175	0	353	241	175	0	353
06:55:00	24900	237	215	0	375	237	215	0	375
07:00:00	25200	232	221	0	386	232	221	0	386
07:05:00	25500	255	227	0	414	255	227	0	414
07:10:00	25800	287	256	0	445	287	256	0	445
07:15:00	26100	276	248	0	473	276	248	0	473
07:20:00	26400	302	279	0	496	302	279	0	496
07:25:00	26700	341	311	0	526	341	311	0	526
07:30:00	27000	344	284	0	586	344	284	0	586
07:35:00	27300	352	357	0	581	352	357	0	581
07:40:00	27600	382	326	0	637	382	326	0	637
07:45:00	27900	398	370	0	665	398	370	0	665
07:50:00	28200	407	346	0	726	407	346	0	726
07:55:00	28500	395	403	0	718	395	403	0	718
08:00:00	28800	393	413	0	698	393	413	0	698
08:05:00	29100	395	396	0	697	395	396	0	697
08:10:00	29400	417	402	0	712	417	402	0	712
08:15:00	29700	398	400	0	710	398	400	0	710
08:20:00	30000	370	374	0	706	370	374	0	706
08:25:00	30300	338	348	0	696	338	348	0	696
08:30:00	30600	377	382	0	691	377	382	0	691
08:35:00	30900	353	369	0	675	353	369	0	675
08:40:00	31200	362	390	0	647	362	390	0	647
08:45:00	31500	324	331	0	640	324	331	0	640
08:50:00	31800	324	344	0	620	324	344	0	620
08:55:00	32100	322	337	0	605	322	337	0	605
09:00:00	32400	309	308	0	606	309	308	0	606
09:05:00	32700	324	318	0	612	324	318	0	612
09:10:00	33000	310	294	0	628	310	294	0	628
09:15:00	33300	276	286	0	618	276	286	0	618
09:20:00	33600	257	316	0	559	257	316	0	559
09:25:00	33900	273	269	0	563	273	269	0	563
09:30:00	34200	264	267	0	560	264	267	0	560
