pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h8---w6	1	6	8	6	6	1	1	1	0	0	1	0	0
h8---w7	8	9	10	4	2	3	0	0	1	0	0	0	0
h8---w8	6	8	6	3	1	0	0	1	0	1	0	0	0
h8---w9	3	5	4	5	1	1	0	0	0	0	0	0	0
h9---e2	0	1	0	0	0	0	0	0	0	0	0	0	0
h9---e4	0	0	1	0	0	0	0	0	0	0	0	0	0
h9---e6	0	1	0	0	0	0	0	0	0	0	0	0	0
h9---h0.5	5	0	0	0	0	0	0	0	0	0	0	0	0
h9---h1	1	0	0	0	0	0	0	0	0	0	0	0	0
h9---h11	13	0	0	0	0	0	0	0	0	0	0	0	0
h9---h2	7	0	0	0	0	0	0	0	0	0	0	0	0
h9---h3	12	0	0	0	0	0	0	0	0	0	0	0	0
h9---h4	27	0	0	0	0	0	0	0	0	0	0	0	0
h9---h5	25	0	0	0	0	0	0	0	0	0	0	0	0
h9---h6	10	0	0	0	0	0	0	0	0	0	0	0	0
h9---h7	4	0	0	0	0	0	0	0	0	0	0	0	0
h9---h8	3	0	0	0	0	0	0	0	0	0	0	0	0
h9---h9	136	0	0	0	0	0	0	0	0	0	0	0	0
h9---l0.5	6	19	5	4	1	0	1	0	0	0	0	0	0
h9---l1	47	89	52	12	8	1	1	0	0	0	1	0	0
h9---l12	0	4	1	0	0	0	0	0	0	0	0	0	0
h9---l2	21	33	15	2	2	1	0	0	0	0	0	0	0
h9---l3	12	30	11	6	0	1	0	0	0	0	0	0	0
h9---l4	7	17	4	2	3	0	0	0	0	0	0	0	0
h9---l5	3	5	0	0	0	0	0	0	0	0	0	0	0
h9---l6	2	4	2	0	0	0	0	0	0	0	0	0	0
h9---l7	0	0	1	0	0	0	0	0	0	0	0	0	0
h9---l8	0	1	0	0	0	0	0	0	0	0	0	0	0
h9---s0.5	32	88	42	13	0	1	0	1	0	0	0	0	0
h9---s1	11	24	11	6	3	0	0	0	0	0	0	0	0
h9---s2	4	15	5	3	1	0	0	0	0	0	0	0	0
h9---s3	2	1	1	0	0	0	0	0	0	0	0	0	0
h9---s4	0	1	2	0	0	0	0	0	0	0	0	0	0
h9---s7	0	1	0	0	0	0	0	0	0	0	0	0	0
h9---w0.5	11	17	7	5	2	4	0	0	0	0	0	0	0
h9---w1	0	1	1	0	0	0	0	1	0	0	0	0	0
h9---w10	1	2	4	3	2	1	0	0	0	0	0	0	0
h9---w11	1	4	2	1	0	1	0	0	0	0	0	0	0
h9---w2	4	5	1	3	0	0	0	0	0	0	0	0	0
h9---w3	1	4	6	4	1	0	0	0	0	0	0	0	0
h9---w4	5	9	10	3	1	2	2	1	0	0	0	0	0
