pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
w10---h5	1	0	0	0	0	0	0	0	0	0	0	0	0
w10---h6	2	0	1	0	0	1	0	0	0	0	0	0	0
w10---h7	1	6	10	2	1	2	0	0	0	0	0	0	0
w10---h8	0	5	0	5	0	2	1	0	0	0	0	0	0
w10---h9	0	1	1	2	1	0	0	0	0	0	0	0	0
w10---l0.5	6	14	5	1	0	0	0	0	0	0	0	0	0
w10---l3	5	5	2	0	0	0	0	0	0	0	0	0	0
w10---l4	6	10	3	1	0	0	0	0	0	0	0	0	0
w10---l6	5	8	6	0	0	0	0	0	0	0	0	0	0
w11---h5	0	0	1	0	0	0	0	0	0	0	0	0	0
w11---h6	1	5	5	0	1	1	0	0	0	0	0	0	0
w11---h7	4	6	4	4	1	1	1	1	0	0	1	0	0
w11---h8	5	9	5	3	2	0	0	0	0	0	0	1	0
w11---h9	0	1	4	3	0	1	0	1	0	0	0	0	0
w11---l2	10	17	9	2	1	0	0	0	0	0	0	0	0
w13---h6	1	0	0	0	0	0	0	0	0	0	0	0	0
w13---h7	0	2	2	1	0	1	1	0	0	0	0	0	0
w13---h8	1	2	2	1	0	0	0	0	0	0	0	0	0
w13---h9	0	0	1	0	0	0	0	0	0	0	0	0	0
w2---h10	2	2	1	0	0	0	0	0	0	0	0	0	0
w2---h5	0	0	1	0	0	1	0	0	0	0	0	0	0
w2---h6	3	4	6	4	3	1	1	0	0	0	0	0	0
w2---h7	8	19	15	12	8	6	1	1	0	0	0	0	0
w2---h8	9	16	22	15	5	2	0	1	0	0	0	0	0
w2---h9	3	7	3	3	2	2	1	1	3	0	0	0	0
w2---l1	21	33	20	4	0	0	0	0	0	0	0	0	0
w2---l2	10	15	7	0	1	1	0	0	0	0	1	0	0
w2---l3	30	48	12	3	1	0	0	0	0	0	0	0	0
w2---l5	11	13	8	2	0	1	0	0	0	0	0	0	0
w2---l6	7	6	3	1	0	0	0	0	0	0	0	0	0
w2---l8	7	10	1	3	1	0	0	0	0	0	0	0	0
w2---s0.5	20	40	18	2	1	0	0	0	0	0	0	0	0
w3---h10	0	1	2	1	0	0	0	0	0	0	0	0	0
w3---h11	1	0	0	0	0	0	0	0	0	0	0	0	0
w3---h3	2	7	9	4	2	0	0	0	0	0	0	0	0
w3---h4	4	6	3	1	2	2	0	0	0	0	0	0	0
w3---h5	1	2	2	0	1	0	0	0	0	0	0	0	0
w3---h6	6	12	8	6	5	2	1	1	0	0	0	0	0
w3---h7	16	33	26	19	15	10	4	2	0	2	0	0	0
w3---h8	17	39	37	12	10	10	1	2	0	0	1	0	0
w3---h9	5	24	14	11	8	1	0	2	0	0	0	0	0
w3---l0.5	4	13	2	0	0	0	0	0	0	0	0	0	0
w3---l1	65	133	33	11	2	0	0	0	0	0	0	0	0
w3---l2	20	39	19	1	2	0	0	1	0	0	0	0	0
w3---l4	5	12	8	0	0	0	0	0	0	0	0	0	0
w3---l5	9	13	5	0	0	1	0	0	0	0	0	0	0
w3---s0.5	24	36	22	1	2	1	0	0	0	0	0	0	0
w4---e3	7	10	6	2	0	1	0	0	0	0	0	0	0
w4---h10	1	7	7	4	0	0	0	0	0	0	0	0	0
w4---h11	0	2	0	0	0	0	0	0	0	0	0	0	0
w4---h5	7	14	9	3	2	1	1	1	1	0	0	0	0
w4---h6	9	34	34	15	10	4	1	3	1	0	2	0	0
w4---h7	47	84	69	54	24	15	4	3	0	3	0	0	0
w4---h8	36	86	80	46	27	17	11	6	1	1	0	1	0
w4---h9	16	40	24	14	9	3	3	1	1	0	0	0	0
w4---l0.5	12	19	10	0	1	0	0	0	0	0	0	0	0
w4---l1	20	38	21	4	3	0	0	0	0	0	0	0	0
w4---l2	15	32	12	4	0	0	0	0	0	0	0	0	0
w4---l3	21	27	15	2	2	0	0	0	0	0	0	0	0
w4---s0.5	55	109	59	11	2	2	0	0	0	0	0	0	0
w4---s1	4	12	3	0	0	0	0	0	0	0	1	0	0
w4---s3	9	7	6	0	0	0	0	0	0	0	0	0	0
w5---h10	1	3	4	5	1	0	0	0	0	0	0	0	0
w5---h2	3	5	2	4	1	1	0	0	0	0	0	0	0
w5---h4	0	0	0	0	1	0	1	0	0	0	0	0	0
w5---h5	2	6	3	4	0	2	0	0	0	0	0	0	0
w5---h6	6	25	23	6	8	2	3	0	0	0	0	0	0
w5---h7	19	58	59	29	16	8	1	1	1	1	0	1	0
w5---h8	28	61	50	27	15	6	2	2	0	0	0	0	0
w5---h9	14	16	29	16	7	3	0	0	2	1	0	0	0
w5---l0.5	16	23	3	1	1	0	0	0	0	0	0	0	0
w5---l1	23	36	25	2	2	0	0	1	0	0	0	0	0
w5---l2	50	126	34	9	2	2	0	0	0	0	0	0	0
w5---l3	13	38	10	3	0	0	0	0	0	0	0	0	0
w5---l4	11	21	9	2	1	0	0	0	0	0	0	0	0
w5---l5	5	7	6	0	0	0	0	0	0	0	0	0	0
w5---s0.5	37	58	31	3	2	1	0	0	0	0	0	0	0
w5---s4	9	9	7	1	0	0	0	0	0	0	0	0	0
w6---h10	3	1	0	1	1	0	0	0	1	0	0	0	0
w6---h3	3	5	4	4	1	1	0	0	0	0	0	0	0
w6---h5	1	2	2	1	2	0	0	0	0	0	0	0	0
w6---h6	7	17	8	8	3	2	2	1	0	0	0	0	0
w6---h7	16	38	32	13	12	4	0	3	2	0	0	0	0
w6---h8	15	35	36	25	11	5	2	2	0	0	1	0	0
w6---h9	11	13	14	7	2	1	2	2	2	0	1	0	0
w6---l0.5	4	18	6	1	1	0	0	0	0	0	0	0	0
w6---l1	15	35	9	3	1	0	0	0	0	0	0	0	0
w6---l2	15	27	7	1	0	0	0	0	0	0	1	0	0
w6---l3	3	13	2	0	0	0	0	0	0	0	0	0	0
w7---h10	0	0	2	0	0	0	0	0	0	0	0	0	0
w7---h4	0	1	0	0	0	0	0	0	0	0	0	0	0
w7---h5	0	0	0	1	0	0	0	0	0	0	0	0	0
w7---h6	2	6	9	3	2	1	0	0	0	0	0	0	0
w7---h7	5	17	9	4	2	4	0	2	0	0	0	0	0
w7---h8	4	11	5	6	7	1	1	0	0	0	0	0	0
w7---h9	2	6	5	2	2	1	1	0	0	0	0	0	0
w7---l1	12	28	13	1	0	1	0	0	0	0	0	0	0
w7---l2	3	9	1	0	0	0	0	0	0	0	0	0	0
w7---l3	10	34	8	1	1	0	0	1	0	0	0	0	0
w7---l5	5	14	5	2	2	0	0	0	0	0	0	0	0
w7---s1	8	10	6	0	0	0	0	0	0	0	0	0	0
w7---s2	14	26	8	1	0	0	0	0	0	0	0	0	0
w8---h0.5	4	12	7	5	3	0	0	1	0	0	0	0	0
w8---h10	0	2	0	0	0	0	0	0	0	0	0	0	0
w8---h5	0	2	1	0	0	0	0	0	0	0	0	0	0
w8---h6	0	4	2	3	0	0	1	0	0	0	0	0	0
w8---h7	3	16	8	4	4	0	1	0	0	1	0	0	0
w8---h8	3	7	9	4	1	0	0	1	0	0	0	0	0
w8---h9	3	6	3	2	0	1	0	0	0	0	0	0	0
w8---l1	11	35	9	1	0	0	0	0	0	0	0	0	0
w8---l4	1	13	6	0	0	0	0	0	0	0	0	0	0
w8---s0.5	4	8	7	0	0	0	0	0	0	0	0	0	0
w9---h5	0	0	0	1	1	0	0	0	0	0	0	0	0
w9---h6	0	7	3	2	1	1	0	0	0	0	0	0	0
w9---h7	3	8	11	7	2	2	0	0	1	0	0	0	0
w9---h8	1	8	3	7	4	2	1	0	0	0	0	0	0
w9---h9	0	3	5	2	1	0	0	0	0	0	0	0	0
w9---l2	1	7	7	0	0	0	0	0	0	0	0	0	0
w9---s0.5	9	13	2	1	2	0	0	0	0	0	0	0	0

average trip duration: 617.1904858231347 seconds = 00:10:17
