time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	1	0	0	1	1	0	0	1
03:50:00	13800	1	0	0	2	1	0	0	2
03:55:00	14100	0	1	0	1	0	1	0	1
04:00:00	14400	0	0	0	1	0	0	0	1
04:05:00	14700	1	0	0	2	1	0	0	2
04:10:00	15000	1	2	0	1	1	2	0	1
04:15:00	15300	0	0	0	1	0	0	0	1
04:20:00	15600	1	1	0	1	1	1	0	1
04:25:00	15900	2	0	0	3	2	0	0	3
04:30:00	16200	3	1	0	5	3	1	0	5
04:35:00	16500	4	2	0	7	4	2	0	7
04:40:00	16800	3	4	0	6	3	4	0	6
04:45:00	17100	8	3	0	11	8	3	0	11
04:50:00	17400	6	3	0	14	6	3	0	14
04:55:00	17700	9	10	0	13	9	10	0	13
05:00:00	18000	16	4	0	25	16	4	0	25
05:05:00	18300	15	17	0	23	15	17	0	23
05:10:00	18600	16	13	0	26	16	13	0	26
05:15:00	18900	25	16	0	35	25	16	0	35
05:20:00	19200	19	13	0	41	19	13	0	41
05:25:00	19500	33	32	0	42	33	32	0	42
05:30:00	19800	43	31	0	54	43	31	0	54
05:35:00	20100	43	34	0	63	43	34	0	63
05:40:00	20400	44	36	0	71	44	36	0	71
05:45:00	20700	46	39	0	78	46	39	0	78
05:50:00	21000	58	57	0	79	58	57	0	79
05:55:00	21300	75	48	0	106	75	48	0	106
06:00:00	21600	87	62	0	131	87	62	0	131
06:05:00	21900	93	85	0	139	93	85	0	139
06:10:00	22200	110	87	0	162	110	87	0	162
06:15:00	22500	114	93	0	183	114	93	0	183
06:20:00	22800	136	112	0	207	136	112	0	207
06:25:00	23100	157	125	0	239	157	125	0	239
06:30:00	23400	156	135	0	260	156	135	0	260
06:35:00	23700	202	189	0	273	202	189	0	273
06:40:00	24000	178	170	0	281	178	170	0	281
06:45:00	24300	218	168	0	331	218	168	0	331
06:50:00	24600	249	186	0	394	249	186	0	394
06:55:00	24900	238	232	0	400	238	232	0	400
07:00:00	25200	258	237	0	421	258	237	0	421
07:05:00	25500	250	237	0	434	250	237	0	434
07:10:00	25800	284	246	0	472	284	246	0	472
07:15:00	26100	289	279	0	482	289	279	0	482
07:20:00	26400	350	302	0	530	350	302	0	530
07:25:00	26700	310	293	0	547	310	293	0	547
07:30:00	27000	327	315	0	559	327	315	0	559
07:35:00	27300	354	299	0	614	354	299	0	614
07:40:00	27600	353	361	0	606	353	361	0	606
07:45:00	27900	370	346	0	630	370	346	0	630
07:50:00	28200	401	346	0	685	401	346	0	685
07:55:00	28500	390	388	0	687	390	388	0	687
08:00:00	28800	389	398	0	678	389	398	0	678
08:05:00	29100	384	395	0	667	384	395	0	667
08:10:00	29400	388	370	0	685	388	370	0	685
08:15:00	29700	399	378	0	706	399	378	0	706
08:20:00	30000	337	372	0	671	337	372	0	671
08:25:00	30300	403	370	0	704	403	370	0	704
08:30:00	30600	355	347	0	712	355	347	0	712
08:35:00	30900	329	371	0	670	329	371	0	670
08:40:00	31200	353	382	0	641	353	382	0	641
08:45:00	31500	321	338	0	624	321	338	0	624
08:50:00	31800	302	337	0	589	302	337	0	589
08:55:00	32100	309	307	0	591	309	307	0	591
09:00:00	32400	317	316	0	592	317	316	0	592
09:05:00	32700	305	298	0	599	305	298	0	599
09:10:00	33000	296	301	0	594	296	301	0	594
09:15:00	33300	269	262	0	601	269	262	0	601
09:20:00	33600	269	297	0	573	269	297	0	573
09:25:00	33900	259	264	0	568	259	264	0	568
09:30:00	34200	230	282	0	516	230	282	0	516
