time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	1	0	0	1	1	0	0	1
03:50:00	13800	1	0	0	2	1	0	0	2
03:55:00	14100	1	1	0	2	1	1	0	2
04:00:00	14400	0	1	0	1	0	1	0	1
04:05:00	14700	0	0	0	1	0	0	0	1
04:10:00	15000	2	1	0	2	2	1	0	2
04:15:00	15300	0	0	0	2	0	0	0	2
04:20:00	15600	5	2	0	5	5	2	0	5
04:25:00	15900	4	2	0	7	4	2	0	7
04:30:00	16200	3	4	0	6	3	4	0	6
04:35:00	16500	6	4	0	8	6	4	0	8
04:40:00	16800	4	5	0	7	4	5	0	7
04:45:00	17100	7	4	0	10	7	4	0	10
04:50:00	17400	7	3	0	14	7	3	0	14
04:55:00	17700	9	9	0	14	9	9	0	14
05:00:00	18000	12	3	0	23	12	3	0	23
05:05:00	18300	17	16	0	24	17	16	0	24
05:10:00	18600	19	15	0	28	19	15	0	28
05:15:00	18900	31	14	0	45	31	14	0	45
05:20:00	19200	27	19	0	53	27	19	0	53
05:25:00	19500	37	38	0	52	37	38	0	52
05:30:00	19800	55	39	0	68	55	39	0	68
05:35:00	20100	39	42	0	65	39	42	0	65
05:40:00	20400	52	43	0	74	52	43	0	74
05:45:00	20700	49	44	0	79	49	44	0	79
05:50:00	21000	63	55	0	87	63	55	0	87
05:55:00	21300	82	56	0	113	82	56	0	113
06:00:00	21600	86	73	0	126	86	73	0	126
06:05:00	21900	91	78	0	139	91	78	0	139
06:10:00	22200	122	86	0	175	122	86	0	175
06:15:00	22500	130	99	0	206	130	99	0	206
06:20:00	22800	143	125	0	224	143	125	0	224
06:25:00	23100	162	132	0	254	162	132	0	254
06:30:00	23400	149	146	0	257	149	146	0	257
06:35:00	23700	199	193	0	263	199	193	0	263
06:40:00	24000	195	156	0	302	195	156	0	302
06:45:00	24300	221	184	0	339	221	184	0	339
06:50:00	24600	260	192	0	407	260	192	0	407
06:55:00	24900	255	235	0	427	255	235	0	427
07:00:00	25200	274	263	0	438	274	263	0	438
07:05:00	25500	239	248	0	429	239	248	0	429
07:10:00	25800	286	260	0	455	286	260	0	455
07:15:00	26100	305	276	0	484	305	276	0	484
07:20:00	26400	332	281	0	535	332	281	0	535
07:25:00	26700	322	299	0	558	322	299	0	558
07:30:00	27000	304	306	0	556	304	306	0	556
07:35:00	27300	366	299	0	623	366	299	0	623
07:40:00	27600	353	351	0	625	353	351	0	625
07:45:00	27900	386	353	0	658	386	353	0	658
07:50:00	28200	382	361	0	679	382	361	0	679
07:55:00	28500	402	389	0	692	402	389	0	692
08:00:00	28800	373	384	0	681	373	384	0	681
08:05:00	29100	384	389	0	676	384	389	0	676
08:10:00	29400	357	371	0	662	357	371	0	662
08:15:00	29700	385	357	0	690	385	357	0	690
08:20:00	30000	327	364	0	653	327	364	0	653
08:25:00	30300	360	371	0	642	360	371	0	642
08:30:00	30600	358	344	0	656	358	344	0	656
08:35:00	30900	332	354	0	634	332	354	0	634
08:40:00	31200	346	359	0	621	346	359	0	621
08:45:00	31500	352	341	0	632	352	341	0	632
08:50:00	31800	313	333	0	612	313	333	0	612
08:55:00	32100	312	315	0	609	312	315	0	609
09:00:00	32400	286	318	0	577	286	318	0	577
09:05:00	32700	282	283	0	576	282	283	0	576
09:10:00	33000	265	282	0	559	265	282	0	559
09:15:00	33300	283	263	0	579	283	263	0	579
09:20:00	33600	250	285	0	544	250	285	0	544
09:25:00	33900	264	254	0	554	264	254	0	554
09:30:00	34200	218	262	0	510	218	262	0	510
