time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	0	0	0	0	0	0	0	0
03:55:00	14100	0	0	0	0	0	0	0	0
04:00:00	14400	0	0	0	0	0	0	0	0
04:05:00	14700	0	0	0	0	0	0	0	0
04:10:00	15000	0	0	0	0	0	0	0	0
04:15:00	15300	1	0	0	1	1	0	0	1
04:20:00	15600	2	1	0	2	2	1	0	2
04:25:00	15900	1	3	0	0	1	3	0	0
04:30:00	16200	2	1	0	1	2	1	0	1
04:35:00	16500	2	1	0	2	2	1	0	2
04:40:00	16800	2	2	0	2	2	2	0	2
04:45:00	17100	3	1	0	4	3	1	0	4
04:50:00	17400	3	1	0	6	3	1	0	6
04:55:00	17700	4	2	0	8	4	2	0	8
05:00:00	18000	9	5	0	12	9	5	0	12
05:05:00	18300	13	6	0	19	13	6	0	19
05:10:00	18600	16	7	0	28	16	7	0	28
05:15:00	18900	15	15	0	28	15	15	0	28
05:20:00	19200	23	18	0	33	23	18	0	33
05:25:00	19500	26	26	0	33	26	26	0	33
05:30:00	19800	33	22	0	44	33	22	0	44
05:35:00	20100	24	21	0	47	24	21	0	47
05:40:00	20400	34	28	0	53	34	28	0	53
05:45:00	20700	32	24	0	61	32	24	0	61
05:50:00	21000	53	40	0	74	53	40	0	74
05:55:00	21300	55	48	0	81	55	48	0	81
06:00:00	21600	72	56	0	97	72	56	0	97
06:05:00	21900	80	61	0	116	80	61	0	116
06:10:00	22200	90	68	0	138	90	68	0	138
06:15:00	22500	109	90	0	157	109	90	0	157
06:20:00	22800	120	92	0	185	120	92	0	185
06:25:00	23100	152	122	0	215	152	122	0	215
06:30:00	23400	148	135	0	228	148	135	0	228
06:35:00	23700	158	141	0	245	158	141	0	245
06:40:00	24000	195	163	0	277	195	163	0	277
06:45:00	24300	185	165	0	297	185	165	0	297
06:50:00	24600	232	187	0	342	232	187	0	342
06:55:00	24900	215	203	0	354	215	203	0	354
07:00:00	25200	244	231	0	367	244	231	0	367
07:05:00	25500	262	234	0	395	262	234	0	395
07:10:00	25800	276	231	0	440	276	231	0	440
07:15:00	26100	295	250	0	485	295	250	0	485
07:20:00	26400	310	285	0	510	310	285	0	510
07:25:00	26700	313	302	0	521	313	302	0	521
07:30:00	27000	319	275	0	565	319	275	0	565
07:35:00	27300	352	342	0	575	352	342	0	575
07:40:00	27600	374	329	0	620	374	329	0	620
07:45:00	27900	405	350	0	675	405	350	0	675
07:50:00	28200	399	378	0	696	399	378	0	696
07:55:00	28500	370	379	0	687	370	379	0	687
08:00:00	28800	421	421	0	687	421	421	0	687
08:05:00	29100	397	369	0	715	397	369	0	715
08:10:00	29400	405	403	0	717	405	403	0	717
08:15:00	29700	418	407	0	728	418	407	0	728
08:20:00	30000	397	389	0	736	397	389	0	736
08:25:00	30300	366	393	0	709	366	393	0	709
08:30:00	30600	371	393	0	687	371	393	0	687
08:35:00	30900	373	360	0	700	373	360	0	700
08:40:00	31200	350	372	0	678	350	372	0	678
08:45:00	31500	340	359	0	659	340	359	0	659
08:50:00	31800	325	353	0	631	325	353	0	631
08:55:00	32100	356	330	0	657	356	330	0	657
09:00:00	32400	302	330	0	629	302	330	0	629
09:05:00	32700	329	324	0	634	329	324	0	634
09:10:00	33000	298	310	0	622	298	310	0	622
09:15:00	33300	302	284	0	640	302	284	0	640
09:20:00	33600	237	311	0	566	237	311	0	566
09:25:00	33900	289	297	0	558	289	297	0	558
09:30:00	34200	251	272	0	537	251	272	0	537
