ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
34	214.00552807246208	205.72010859397358	210.2845648994163	215.32549216046704
35	214.38835094732593	205.992855727242	210.46291876400474	215.49235425663517
36	214.31780671340783	206.10987878678074	210.60317396559657	215.56519390245475
37	214.5231312108556	206.28897254694297	210.75962494503648	215.69093997677516
38	214.49274699814055	206.3663781846169	210.87594079253637	215.79230913878507
39	214.8910678794198	206.7241801386709	211.06889942910914	215.97951703874477
40	214.9624181408763	206.8457889493963	211.22018420410882	216.1457071139161
41	215.06137471691983	207.1167644429737	211.37741818554068	216.25741882745024
42	215.18438041737244	207.29817977123682	211.52768722703362	216.40539740285593
43	215.3421661206482	207.36910471090357	211.66418183357868	216.52448042530744
44	215.58176812125467	207.71159184055097	211.83922356677098	216.61530432642402
45	215.4116106142423	207.7762124623504	211.94545883791838	216.71568705242333
46	215.69577237889212	208.0573293061218	212.1226222358658	216.83309367687906
47	215.78805394523417	208.19811155489452	212.25610892088457	216.95047740289536
48	215.9297881264232	208.37706475192832	212.39717994512972	217.06102479541389
49	216.02935727151825	208.5737539866655	212.54549457048026	217.14404315438682
50	216.00371297681647	208.74437998251585	212.67066310651347	217.20273535479328
51	216.09407941015803	208.84685411096734	212.81061986827766	217.32516836959869
52	216.26364408196304	209.22386342117917	212.9813145927861	217.41538422651388
53	216.38908906427955	209.39606689665288	213.12623798322824	217.51401410987873
54	216.47043920105844	209.53142064371485	213.24411369440008	217.6178352628034
55	216.47684028915674	209.64669601287198	213.36974320794812	217.68146961724415
56	216.59104879567423	209.86237583143318	213.5233288521785	217.7710796094163
57	216.7207016898605	209.99171033584867	213.66239551425798	217.87025860251694
58	216.96529833858156	210.2281169710554	213.81814548535652	217.96067282816364
59	216.98037270715255	210.3890548639451	213.95190468905753	218.06073809096017
60	217.01570507155566	210.60587801359904	214.08792326625894	218.15095052012407
61	217.20523767552467	210.75210525681155	214.21765239253253	218.23496423213325
62	217.33505406144712	210.97839696823377	214.34432281107576	218.3567887236331
63	217.4881514453096	211.15290913579702	214.4712620076436	218.4557080426839
64	217.43644707828233	211.1951187440021	214.5630856947636	218.5323145726514
65	217.5680702427797	211.42643941567627	214.68695271019828	218.62471610271274
66	217.5858786698231	211.51035899412784	214.79340707520393	218.69740941972637
67	217.701687404306	211.5966972881734	214.91826868424621	218.8057993511379
68	217.87650833877439	211.87680491259383	215.05779020341066	218.8869036830247
69	217.95441992520122	211.9529182868869	215.16755629645286	218.9949661022264
70	217.96342927649286	212.11908621183593	215.2802898068686	219.056284885509
71	218.12958582182142	212.29230045583617	215.40118221064722	219.13748823860067
72	218.41586339706376	212.47102010901966	215.5314550437244	219.2083714265008
73	218.33914864784344	212.57265133732278	215.62436184398075	219.2811298404105
74	218.1987774933079	212.602137768463	215.71259404176948	219.34527772782445
75	218.3604449175528	212.80267477016582	215.84075874693198	219.43293161420127
76	218.46804798209044	212.95041400774306	215.95847887853736	219.54016220612485
77	218.5843761270237	213.064903159785	216.0683597417105	219.61781230618874
78	218.52632062299915	213.1158307302587	216.15267181919307	219.7051578229922
79	218.73928175473813	213.30219783360417	216.271694536858	219.80761196407732
80	218.90306166059216	213.47182609608083	216.37938250293485	219.85664449964574
81	218.91320583811134	213.6657588954635	216.48392838328013	219.93543449760054
82	218.96074864062328	213.70083503507578	216.57842423380328	220.00266345004488
83	219.15196724190648	213.89463510281095	216.6949291932166	220.09116016589252
84	219.1787938686537	213.9433489776159	216.79209085126615	220.15846379068202
85	219.15747465801678	214.04517305670547	216.8880359852899	220.228357651241
86	219.50351882535347	214.32364093035153	217.03016076962544	220.3264736391203
87	219.4010195361208	214.33010917267845	217.11909424519718	220.40598024941832
88	219.50821216273206	214.41132154711474	217.21345016451053	220.46149510616908
89	219.55355941122258	214.55261448898082	217.31221504360371	220.53958745455
90	219.712782137069	214.7010508046408	217.4194636128192	220.62853999785085
91	219.66998680275583	214.74072429245962	217.50707021024243	220.7239369514387
92	219.81505065092463	215.0063775128974	217.62471733740801	220.78396934581926
93	219.8692052336026	215.06642080725382	217.7090731399422	220.8620120078281
94	220.02942980418123	215.24084177819736	217.81228274174148	220.9332867509001
95	220.12924220923327	215.4324618578495	217.91986855792584	220.98892896530492
96	220.18108500878722	215.45483599770935	217.9866145032786	221.06304319640003
97	220.12349098954087	215.54527618246578	218.06156104428746	221.11142486281372
98	220.1159435414182	215.67059044320345	218.1522604285656	221.16333176840902
99	220.3344927591718	215.7892102694424	218.24896486867365	221.25640910858246
100	220.45837923301363	215.9754078746247	218.34756516088927	221.34380645301403
