Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
85	15:53:52	15:53:52	15:53:52	15:53:52	15:53:53	15:53:53	15:53:53	15:53:55	15:53:55	15:53:55	15:53:59	15:53:59	15:53:59	15:53:59	15:53:59	15:53:59	15:53:59	15:53:59		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
86	15:53:59	15:53:59	15:53:59	15:53:59	15:54:00	15:54:00	15:54:00	15:54:02	15:54:03	15:54:03	15:54:06	15:54:06	15:54:06	15:54:06	15:54:06	15:54:06	15:54:07	15:54:07		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
87	15:54:07	15:54:07	15:54:07	15:54:07	15:54:07	15:54:07	15:54:07	15:54:10	15:54:10	15:54:10	15:54:13	15:54:13	15:54:13	15:54:13	15:54:13	15:54:13	15:54:14	15:54:14		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
88	15:54:14	15:54:14	15:54:14	15:54:14	15:54:15	15:54:15	15:54:15	15:54:17	15:54:17	15:54:17	15:54:21	15:54:21	15:54:21	15:54:21	15:54:21	15:54:21	15:54:21	15:54:21		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
89	15:54:22	15:54:22	15:54:22	15:54:22	15:54:23	15:54:23	15:54:23	15:54:25	15:54:25	15:54:25	15:54:28	15:54:28	15:54:28	15:54:28	15:54:28	15:54:28	15:54:29	15:54:29		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
90	15:54:29	15:54:29	15:54:29	15:54:29	15:54:30	15:54:30	15:54:30	15:54:32	15:54:32	15:54:32	15:54:40	15:54:40	15:54:40	15:54:40	15:54:40	15:54:40	15:54:42	15:54:42		00:00:00	00:00:00	00:00:02	00:00:02	00:00:07	00:00:00	00:00:00	00:00:01	00:00:12
91	15:54:42	15:54:42	15:54:42	15:54:42	15:54:42	15:54:42	15:54:42	15:54:45	15:54:45	15:54:45	15:54:48	15:54:48	15:54:48	15:54:48	15:54:48	15:54:48	15:54:49	15:54:49		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
92	15:54:49	15:54:49	15:54:49	15:54:49	15:54:50	15:54:50	15:54:50	15:54:52	15:54:52	15:54:52	15:54:56	15:54:56	15:54:56	15:54:56	15:54:56	15:54:56	15:54:56	15:54:56		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
93	15:54:56	15:54:56	15:54:56	15:54:56	15:54:57	15:54:57	15:54:57	15:55:00	15:55:00	15:55:00	15:55:03	15:55:03	15:55:03	15:55:03	15:55:03	15:55:03	15:55:04	15:55:04		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
94	15:55:04	15:55:04	15:55:04	15:55:04	15:55:04	15:55:04	15:55:04	15:55:07	15:55:07	15:55:07	15:55:11	15:55:11	15:55:11	15:55:11	15:55:11	15:55:11	15:55:11	15:55:11		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
95	15:55:12	15:55:12	15:55:12	15:55:12	15:55:12	15:55:12	15:55:12	15:55:15	15:55:15	15:55:15	15:55:18	15:55:18	15:55:18	15:55:18	15:55:18	15:55:18	15:55:19	15:55:19		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
96	15:55:19	15:55:19	15:55:19	15:55:19	15:55:20	15:55:20	15:55:20	15:55:22	15:55:22	15:55:22	15:55:25	15:55:25	15:55:25	15:55:25	15:55:26	15:55:26	15:55:26	15:55:26		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
97	15:55:26	15:55:26	15:55:26	15:55:26	15:55:27	15:55:27	15:55:27	15:55:29	15:55:29	15:55:29	15:55:33	15:55:33	15:55:33	15:55:33	15:55:33	15:55:33	15:55:33	15:55:33		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
98	15:55:34	15:55:34	15:55:34	15:55:34	15:55:34	15:55:34	15:55:34	15:55:37	15:55:37	15:55:37	15:55:40	15:55:40	15:55:40	15:55:40	15:55:40	15:55:40	15:55:41	15:55:41		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
99	15:55:41	15:55:41	15:55:41	15:55:41	15:55:42	15:55:42	15:55:42	15:55:44	15:55:44	15:55:44	15:55:48	15:55:48	15:55:48	15:55:48	15:55:48	15:55:48	15:55:48	15:55:48		00:00:00	00:00:00	00:00:02	00:00:02	00:00:03	00:00:00	00:00:00	00:00:00	00:00:07
100	15:55:49	15:55:49	15:55:49	15:55:49	15:55:49	15:55:49	15:55:49	15:55:52	15:55:52	15:55:52	15:55:59	15:55:59	15:55:59	15:55:59	15:55:59	15:55:59	15:56:01	15:56:01		00:00:00	00:00:00	00:00:02	00:00:02	00:00:07	00:00:00	00:00:00	00:00:01	00:00:12
