ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	9445.917228518882	
1	9442.904453187286	
2	9442.68607156447	
3	9441.685638499312	
4	9442.233797609986	
5	9441.838828640284	
6	9440.964096044429	
7	9440.65284618033	
8	9441.702301089003	
9	9440.360139205986	
10	9438.160330144234	
11	9439.557426795682	
12	9440.233594984418	
13	9438.345329464739	
14	9440.125879856128	
15	9437.338319245126	
16	9437.01959656085	
17	9437.194528928392	
18	9437.682407951006	
19	9436.705633471045	
20	9436.608311136479	
21	9435.935979651375	
22	9435.965048244183	
23	9435.486290180837	
24	9434.944363720375	
25	9433.762460543958	
26	9435.11356852939	
27	9432.793602458867	
28	9435.338411158222	
29	9434.828678290572	
30	9434.276928136553	
31	9434.003742208453	
32	9433.891967456697	
33	9434.67370252591	
34	9433.959519641954	
35	9433.37418320106	
36	9433.64743454193	
37	9433.50961603972	
38	9433.290773718925	
39	9432.671424267957	
40	9433.411930084443	
41	9432.592987379503	
42	9433.832678254332	
43	9432.606569317606	
44	9433.460349759007	
45	9431.655284889834	
46	9433.477147704212	
47	9431.677733972969	
48	9432.300209737627	
49	9433.382233818947	
50	9431.637691798944	
51	9432.211516543453	
52	9431.959800364213	
53	9432.83358592448	
54	9429.84986052222	
55	9431.714578803367	
56	9432.981037906795	
57	9431.362882873093	
58	9432.169414909042	
59	9431.091455524758	
60	9432.139738484819	
61	9433.046084610787	
62	9431.229184922448	
63	9431.147063174967	
64	9432.245625226498	
65	9430.183982795174	
66	9429.83684945097	
67	9430.998814370878	
68	9430.078279607887	
69	9430.597377917304	
70	9430.831406238674	
71	9431.7344967656	
72	9431.869340164529	
73	9430.08068284772	
74	9430.627427656374	
75	9430.582232550556	
76	9430.693352449807	
77	9431.335870116694	
78	9429.841469069366	
79	9431.119630943322	
80	9428.978875208379	
81	9431.516495252592	
82	9430.773444136408	
83	9430.240988394216	
84	9429.318399335001	
85	9430.357662444738	
86	9431.7980946945	
87	9430.005870479094	
88	9429.905510029357	
89	9429.850192795537	
90	9429.126067170404	
91	9431.510205615352	
92	9429.409993159745	
93	9430.822848037618	
94	9430.165651409729	
95	9430.32610848373	
96	9429.437559840911	
97	9428.725993830183	
98	9429.70855811046	
99	9429.073805718637	
100	9429.961375933175	
