time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	1	0	0	1	1	0	0	1
03:55:00	14100	0	0	0	1	0	0	0	1
04:00:00	14400	0	0	0	1	0	0	0	1
04:05:00	14700	0	0	0	1	0	0	0	1
04:10:00	15000	0	0	0	1	0	0	0	1
04:15:00	15300	1	0	0	2	1	0	0	2
04:20:00	15600	2	2	0	2	2	2	0	2
04:25:00	15900	2	2	0	2	2	2	0	2
04:30:00	16200	3	1	0	4	3	1	0	4
04:35:00	16500	3	3	0	4	3	3	0	4
04:40:00	16800	1	2	0	3	1	2	0	3
04:45:00	17100	3	1	0	5	3	1	0	5
04:50:00	17400	3	3	0	5	3	3	0	5
04:55:00	17700	7	3	0	9	7	3	0	9
05:00:00	18000	12	4	0	17	12	4	0	17
05:05:00	18300	18	9	0	26	18	9	0	26
05:10:00	18600	16	14	0	28	16	14	0	28
05:15:00	18900	21	11	0	38	21	11	0	38
05:20:00	19200	14	18	0	34	14	18	0	34
05:25:00	19500	27	33	0	28	27	33	0	28
05:30:00	19800	35	18	0	45	35	18	0	45
05:35:00	20100	29	25	0	49	29	25	0	49
05:40:00	20400	32	24	0	57	32	24	0	57
05:45:00	20700	34	32	0	59	34	32	0	59
05:50:00	21000	63	46	0	76	63	46	0	76
05:55:00	21300	72	46	0	102	72	46	0	102
06:00:00	21600	72	59	0	115	72	59	0	115
06:05:00	21900	83	74	0	124	83	74	0	124
06:10:00	22200	95	77	0	142	95	77	0	142
06:15:00	22500	110	84	0	168	110	84	0	168
06:20:00	22800	130	101	0	197	130	101	0	197
06:25:00	23100	163	122	0	238	163	122	0	238
06:30:00	23400	142	144	0	236	142	144	0	236
06:35:00	23700	162	160	0	238	162	160	0	238
06:40:00	24000	199	150	0	287	199	150	0	287
06:45:00	24300	194	183	0	298	194	183	0	298
06:50:00	24600	245	187	0	356	245	187	0	356
06:55:00	24900	239	217	0	378	239	217	0	378
07:00:00	25200	230	206	0	402	230	206	0	402
07:05:00	25500	270	243	0	429	270	243	0	429
07:10:00	25800	281	266	0	444	281	266	0	444
07:15:00	26100	282	256	0	470	282	256	0	470
07:20:00	26400	308	282	0	496	308	282	0	496
07:25:00	26700	307	302	0	501	307	302	0	501
07:30:00	27000	328	281	0	548	328	281	0	548
07:35:00	27300	339	320	0	567	339	320	0	567
07:40:00	27600	386	325	0	628	386	325	0	628
07:45:00	27900	375	351	0	652	375	351	0	652
07:50:00	28200	428	358	0	722	428	358	0	722
07:55:00	28500	384	396	0	710	384	396	0	710
08:00:00	28800	418	411	0	717	418	411	0	717
08:05:00	29100	400	388	0	729	400	388	0	729
08:10:00	29400	403	431	0	701	403	431	0	701
08:15:00	29700	395	392	0	704	395	392	0	704
08:20:00	30000	373	380	0	697	373	380	0	697
08:25:00	30300	367	388	0	676	367	388	0	676
08:30:00	30600	377	359	0	694	377	359	0	694
08:35:00	30900	371	352	0	713	371	352	0	713
08:40:00	31200	353	382	0	684	353	382	0	684
08:45:00	31500	328	371	0	641	328	371	0	641
08:50:00	31800	302	336	0	607	302	336	0	607
08:55:00	32100	322	331	0	598	322	331	0	598
09:00:00	32400	322	308	0	612	322	308	0	612
09:05:00	32700	308	302	0	618	308	302	0	618
09:10:00	33000	305	303	0	620	305	303	0	620
09:15:00	33300	279	284	0	615	279	284	0	615
09:20:00	33600	265	303	0	577	265	303	0	577
09:25:00	33900	258	273	0	562	258	273	0	562
09:30:00	34200	256	278	0	540	256	278	0	540
